zi,chaizi
扥,"['手', '丿', '一', '乚']"
考,"['老', '丂']"
考,"['土', '丿', '丂']"
考,"['耂', '丂']"
圳,"['土', '川']"
老,"['耂', '匕']"
老,"['土', '丿', '匕']"
老,"['老', '匕']"
圴,"['土', '勺']"
圾,"['土', '及']"
巩,"['工', '凡']"
扚,"['手', '勺']"
扚,"['扌', '勺']"
扚,"['才', '勺']"
执,"['手', '丸']"
执,"['扌', '丸']"
执,"['才', '丸']"
扱,"['手', '及']"
扱,"['扌', '及']"
扱,"['才', '及']"
圹,"['土', '广']"
扩,"['手', '广']"
扩,"['才', '广']"
扩,"['扌', '广']"
扪,"['扌', '门']"
扪,"['手', '门']"
赱,"['土', '丷', '乀']"
扫,"['手', '彐']"
扫,"['才', '彐']"
扫,"['扌', '彐']"
扟,"['手', '卂']"
扟,"['才', '卂']"
扟,"['扌', '卂']"
圮,"['土', '己']"
圯,"['土', '已']"
圯,"['土', '巳']"
地,"['土', '也']"
扡,"['才', '也']"
扡,"['手', '也']"
扡,"['扌', '也']"
场,"['土', '弓', '丿', '丿']"
扬,"['才', '弓', '丿', '丿']"
扬,"['扌', '弓', '丿', '丿']"
扬,"['手', '弓', '丿', '丿']"
扨,"['才', '刄']"
扨,"['手', '刄']"
扨,"['扌', '刄']"
扨,"['手', '刃']"
扠,"['扌', '叉']"
扠,"['才', '叉']"
扠,"['手', '叉']"
芉,"['草', '干']"
芉,"['艹', '干']"
芉,"['艸', '干']"
芋,"['艹', '于']"
芋,"['草', '于']"
芋,"['艸', '于']"
芌,"['草', '亏']"
芌,"['艸', '亏']"
芌,"['艹', '亏']"
芏,"['草', '土']"
芏,"['艸', '土']"
芏,"['艹', '土']"
芐,"['艸', '下']"
芐,"['艹', '下']"
芐,"['草', '下']"
共,"['二', '丨', '丨', '八']"
共,"['十', '丨', '一', '八']"
共,"['井', '八']"
芖,"['草', '大']"
芖,"['艸', '大']"
芖,"['艹', '大']"
芅,"['艹', '弋']"
芅,"['艸', '弋']"
芅,"['草', '弋']"
芇,"['草', '巾']"
芇,"['艸', '巾']"
芇,"['艹', '巾']"
芊,"['草', '千']"
芊,"['艸', '千']"
芊,"['艹', '千']"
芃,"['艹', '凡']"
芃,"['草', '凡']"
芃,"['艸', '凡']"
芄,"['草', '丸']"
芄,"['艸', '丸']"
芄,"['艹', '丸']"
芍,"['草', '勺']"
芍,"['艸', '勺']"
芍,"['艹', '勺']"
芕,"['艹', '夕']"
芕,"['艸', '夕']"
芕,"['草', '夕']"
芨,"['草', '及']"
芨,"['艸', '及']"
芨,"['艹', '及']"
芒,"['艹', '亡']"
芒,"['艸', '亡']"
芒,"['草', '亡']"
亚,"['一', '业']"
芝,"['艸', '之']"
芝,"['艹', '之']"
芝,"['草', '之']"
芎,"['艹', '弓']"
芎,"['艸', '弓']"
芎,"['草', '弓']"
芑,"['艹', '己']"
芑,"['艸', '己']"
芑,"['草', '己']"
芓,"['艹', '子']"
芓,"['艸', '子']"
芓,"['草', '子']"
芆,"['草', '叉']"
芆,"['艸', '叉']"
芆,"['艹', '叉']"
芗,"['草', '乡']"
芗,"['艸', '乡']"
芗,"['艹', '乡']"
朾,"['木', '丁']"
朽,"['木', '丂']"
朴,"['木', '卜']"
朲,"['木', '人']"
朳,"['木', '八']"
